"Date	Close	Volume	Company_ticker	Company_name	Field	Dis_category	Rate_of_Return	Date1	Close1	Volume1	Company_ticker1	Company_name1	Field	Dis_category	Rate_of_Return1"
"1/20/2016	25.64	21656179	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.027314112	1/21/2016	73.85	670247	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.017217631"
"1/19/2016	26.36	12869145	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.009961686	1/20/2016	72.6	907113	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.00887372"
"1/18/2016	26.1	0	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0	1/19/2016	73.25	608075	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.000818442"
"1/15/2016	26.1	14833062	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.017319277	1/18/2016	73.31	0	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0"
"1/14/2016	26.56	16127666	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.026275116	1/15/2016	73.31	453069	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.033869267"
"1/13/2016	25.88	12424035	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.020439061	1/14/2016	75.88	590735	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.022503706"
"1/12/2016	26.42	11398597	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.020865533	1/13/2016	74.21	631778	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.030188186"
"1/11/2016	25.88	10586062	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.00038625	1/12/2016	76.52	658660	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.007107133"
"1/8/2016	25.89	11514372	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0	1/11/2016	75.98	824763	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.001054018"
"1/7/2016	25.89	15944762	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.031062874	1/8/2016	75.9	1075290	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.02002419"
"1/6/2016	26.72	19881867	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.004889056	1/7/2016	74.41	1038926	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.013522471"
"1/5/2016	26.59	10205737	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0	1/6/2016	75.43	766852	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.009907618"
"1/4/2016	26.59	11914071	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.020986745	1/5/2016	74.69	530315	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.009285051"
"1/1/2016	27.16	0	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0	1/4/2016	75.39	1032632	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.009507231"
